PeriodID,GameID,Number,Name,Type,AwayScore,HomeScore
64834,37689,1,1,Half,19,54
64835,40795,1,1,Half,25,39
64836,37689,2,2,Half,23,45
64837,40795,2,2,Half,42,46
64838,38883,1,1,Half,21,45
64839,38889,1,1,Half,29,29
64840,41485,1,1,Half,30,63
64841,41486,1,1,Half,33,37
64842,38883,2,2,Half,30,46
64843,38889,2,2,Half,25,46
64844,39571,1,1,Half,22,49
64845,41485,2,2,Half,49,54
64846,41488,1,1,Half,37,34
64847,36787,1,1,Half,28,36
64848,36786,1,1,Half,19,36
64849,41487,1,1,Half,32,58
64850,41534,1,1,Half,46,58
64851,36783,1,1,Half,23,31
64852,41486,2,2,Half,47,30
64853,40797,1,1,Half,29,45
64854,38884,1,1,Half,23,52
64855,39571,2,2,Half,37,49
64856,38888,1,1,Half,19,29
64857,40796,1,1,Half,15,37
64858,41350,1,1,Half,27,62
64859,38894,1,1,Half,27,22
64860,41346,1,1,Half,10,44
64861,38922,1,1,Half,28,35
64862,38006,1,1,Half,15,37
64863,38567,1,1,Half,31,45
64864,40798,1,1,Half,31,28
64865,41496,1,1,Half,23,39
64866,38566,1,1,Half,43,31
64867,41499,1,1,Half,16,52
64868,38008,1,1,Half,37,50
64869,38892,1,1,Half,34,43
64870,38891,1,1,Half,35,43
64871,36790,1,1,Half,35,33
64872,41498,1,1,Half,23,58
64873,41351,1,1,Half,28,47
64874,39593,1,1,Half,23,27
64875,39591,1,1,Half,21,47
64876,41488,2,2,Half,29,35
64877,41534,2,2,Half,32,52
64878,38923,1,1,Half,39,32
64879,38918,1,1,Half,26,48
64880,36778,1,1,Half,23,32
64881,38901,1,1,Half,22,31
64882,38568,1,1,Half,32,24
64883,39583,1,1,Half,25,23
64884,38921,1,1,Half,33,51
64885,38900,1,1,Half,34,42
64886,41495,1,1,Half,29,55
64887,36789,1,1,Half,41,41
64888,41344,1,1,Half,25,47
64889,38927,1,1,Half,28,52
64890,41500,1,1,Half,19,48
64891,41484,1,1,Half,28,48
64892,36782,1,1,Half,27,25
64893,36792,1,1,Half,25,41
64894,39568,1,1,Half,23,49
64895,41342,1,1,Half,19,39
64896,39588,1,1,Half,39,32
64897,41494,1,1,Half,29,51
64898,40793,1,1,Half,39,44
64899,40791,1,1,Half,26,36
64900,38904,1,1,Half,27,36
64901,38925,1,1,Half,36,31
64902,36791,1,1,Half,32,36
64903,38565,1,1,Half,30,52
64904,41497,1,1,Half,28,45
64905,36786,2,2,Half,43,32
64906,36787,2,2,Half,38,31
64907,38915,1,1,Half,25,31
64908,39592,1,1,Half,34,53
64909,38920,1,1,Half,32,25
64910,36781,1,1,Half,33,30
64911,41487,2,2,Half,23,60
64912,36783,2,2,Half,31,26
64913,36780,1,1,Half,35,42
64914,41507,1,1,Half,24,44
64915,39595,1,1,Half,28,41
64916,41506,1,1,Half,34,62
64917,41503,1,1,Half,33,33
64918,40800,1,1,Half,28,53
64919,41508,1,1,Half,31,37
64920,38908,1,1,Half,31,43
64921,41504,1,1,Half,34,38
64922,41502,1,1,Half,36,40
64923,39594,1,1,Half,36,44
64924,38902,1,1,Half,36,32
64925,36785,1,1,Half,29,37
64926,40797,2,2,Half,43,39
64927,41501,1,1,Half,31,54
64928,41505,1,1,Half,24,43
64929,41345,1,1,Half,43,24
64930,36779,1,1,Half,23,29
64931,38884,2,2,Half,25,47
64932,41351,2,2,Half,25,39
64933,41522,1,1,Half,31,47
64934,41498,2,2,Half,32,53
64935,38885,1,1,Half,18,59
64936,38888,2,2,Half,28,27
64937,38918,2,2,Half,33,41
64938,39583,2,2,Half,33,42
64939,40796,2,2,Half,26,43
64940,41495,2,2,Half,34,38
64941,38894,2,2,Half,24,36
64942,41344,2,2,Half,26,54
64943,36782,2,2,Half,26,40
64944,38006,2,2,Half,28,42
64945,36790,2,2,Half,34,28
64946,41507,2,2,Half,28,39
64947,41343,1,1,Half,34,40
64948,36794,1,1,Half,26,24
64949,38897,1,1,Half,36,28
64950,38896,1,1,Half,24,44
64951,40794,1,1,Half,36,40
64952,38569,1,1,Half,19,42
64953,38913,1,1,Half,32,33
64954,40799,1,1,Half,29,44
64955,38895,1,1,Half,24,47
64956,39581,1,1,Half,38,43
64957,38899,1,1,Half,37,31
64958,40801,1,1,Half,26,63
64959,39590,1,1,Half,17,30
64960,39582,1,1,Half,32,23
64961,38005,1,1,Half,29,37
64962,38912,1,1,Half,22,34
64963,38929,1,1,Half,26,30
64964,38007,1,1,Half,50,50
64965,38924,1,1,Half,19,54
64966,38893,1,1,Half,20,52
64967,39587,1,1,Half,25,33
64968,36784,1,1,Half,29,45
64969,38890,1,1,Half,41,52
64970,39596,1,1,Half,45,41
64971,41521,1,1,Half,45,55
64972,38562,1,1,Half,40,40
64973,36776,1,1,Half,36,28
64974,37688,1,1,Half,22,39
64975,39586,1,1,Half,33,32
64976,39579,1,1,Half,31,29
64977,39585,1,1,Half,29,40
64978,38909,1,1,Half,25,28
64979,39580,1,1,Half,14,43
64980,41511,1,1,Half,40,49
64981,38907,1,1,Half,31,39
64982,39570,1,1,Half,25,52
64983,38903,1,1,Half,26,40
64984,38004,1,1,Half,32,43
64985,38930,1,1,Half,23,48
64986,41510,1,1,Half,30,31
64987,38003,1,1,Half,36,50
64988,38911,1,1,Half,27,34
64989,38931,1,1,Half,32,41
64990,38564,1,1,Half,22,46
64991,38002,1,1,Half,27,23
64992,39584,1,1,Half,21,42
64993,41348,1,1,Half,36,31
64994,38923,2,2,Half,38,24
64995,38915,2,2,Half,35,45
64996,36778,2,2,Half,43,36
64997,38901,2,2,Half,21,34
64998,38568,2,2,Half,21,40
64999,38921,2,2,Half,38,42
65000,38920,2,2,Half,22,39
65001,36781,2,2,Half,28,43
65002,41350,2,2,Half,39,56
65003,36789,2,2,Half,30,41
65004,41346,2,2,Half,27,53
65005,38922,2,2,Half,24,39
65006,38927,2,2,Half,42,34
65007,41500,2,2,Half,32,50
65008,41484,2,2,Half,31,39
65009,36792,2,2,Half,44,42
65010,39568,2,2,Half,32,42
65011,41342,2,2,Half,29,38
65012,39588,2,2,Half,48,42
65013,38567,2,2,Half,36,38
65014,40798,2,2,Half,22,29
65015,41494,2,2,Half,24,47
65016,41496,2,2,Half,31,43
65017,40793,2,2,Half,41,48
65018,40791,2,2,Half,40,47
65019,38566,2,2,Half,35,32
65020,41499,2,2,Half,12,42
65021,38008,2,2,Half,30,46
65022,38904,2,2,Half,35,35
65023,39592,2,2,Half,37,65
65024,38900,2,2,Half,28,28
65025,36780,2,2,Half,38,38
65026,38925,2,2,Half,24,39
65027,38892,2,2,Half,26,35
65028,36791,2,2,Half,15,39
65029,38565,2,2,Half,33,45
65030,38891,2,2,Half,27,47
65031,41497,2,2,Half,31,32
65032,39593,2,2,Half,30,33
65033,39591,2,2,Half,21,41
65034,38928,1,1,Half,37,32
65035,38887,1,1,Half,47,38
65036,38905,1,1,Half,26,39
65037,37690,1,1,Half,29,35
65038,41509,1,1,Half,17,52
65039,38932,1,1,Half,35,36
65040,39595,2,2,Half,22,44
65041,41506,2,2,Half,39,39
65042,41508,2,2,Half,36,40
65043,38908,2,2,Half,30,39
65044,41504,2,2,Half,39,44
65045,41502,2,2,Half,31,34
65046,39594,2,2,Half,41,58
65047,38902,2,2,Half,24,45
65048,41513,1,1,Half,23,41
65049,38886,1,1,Half,38,39
65050,41501,2,2,Half,23,68
65051,41505,2,2,Half,33,51
65052,41503,2,2,Half,39,36
65053,41345,2,2,Half,32,33
65054,40800,2,2,Half,26,50
65055,36785,2,2,Half,39,31
65056,36779,2,2,Half,37,34
65057,41520,1,1,Half,33,29
65058,39597,1,1,Half,30,49
65059,38885,2,2,Half,43,60
65060,41343,2,2,Half,39,42
65061,36794,2,2,Half,36,38
65062,38897,2,2,Half,25,46
65063,38896,2,2,Half,30,33
65064,40794,2,2,Half,43,46
65065,40799,2,2,Half,45,59
65066,39581,2,2,Half,43,34
65067,38899,2,2,Half,32,38
65068,40801,2,2,Half,33,45
65069,38912,2,2,Half,28,33
65070,38924,2,2,Half,26,49
65071,38893,2,2,Half,19,49
65072,39587,2,2,Half,31,38
65073,36784,2,2,Half,39,33
65074,38562,2,2,Half,30,48
65075,36776,2,2,Half,39,32
65076,37688,2,2,Half,22,49
65077,39586,2,2,Half,42,42
65078,37690,2,2,Half,28,32
65079,39585,2,2,Half,27,40
65080,38909,2,2,Half,34,49
65081,39580,2,2,Half,31,45
65082,41509,2,2,Half,24,50
65083,41511,2,2,Half,38,50
65084,38907,2,2,Half,31,47
65085,39570,2,2,Half,42,29
65086,38903,2,2,Half,41,29
65087,38930,2,2,Half,41,54
65088,41510,2,2,Half,37,39
65089,38911,2,2,Half,29,36
65090,38931,2,2,Half,27,33
65091,38564,2,2,Half,25,36
65092,38002,2,2,Half,30,37
65093,39584,2,2,Half,37,39
65094,41348,2,2,Half,38,48
65095,41512,1,1,Half,27,42
65096,41514,1,1,Half,19,64
65097,38919,1,1,Half,33,49
65098,38898,1,1,Half,31,48
65099,38910,1,1,Half,27,38
65100,36793,1,1,Half,27,34
65101,38933,1,1,Half,18,40
65102,38914,1,1,Half,25,40
65103,39599,1,1,Half,29,43
65104,38561,1,1,Half,31,33
65105,41516,1,1,Half,25,30
65106,38917,1,1,Half,35,37
65107,39598,1,1,Half,28,50
65108,41515,1,1,Half,19,52
65109,39569,1,1,Half,26,36
65110,38563,1,1,Half,42,35
65111,38569,2,2,Half,38,31
65112,38913,2,2,Half,40,44
65113,38887,2,2,Half,30,52
65114,41522,2,2,Half,30,40
65115,38895,2,2,Half,37,27
65116,38905,2,2,Half,46,36
65117,39590,2,2,Half,30,41
65118,39582,2,2,Half,31,45
65119,38005,2,2,Half,44,47
65120,38929,2,2,Half,41,37
65121,38007,2,2,Half,48,55
65122,38890,2,2,Half,24,37
65123,39596,2,2,Half,54,53
65124,41521,2,2,Half,32,54
65125,39579,2,2,Half,31,29
65126,38004,2,2,Half,29,53
65127,38003,2,2,Half,38,39
65128,38906,1,1,Half,27,43
65129,39572,1,1,Half,35,47
65130,38935,1,1,Half,26,47
65131,38928,2,2,Half,39,37
65132,38932,2,2,Half,28,46
65133,41513,2,2,Half,24,40
65134,36775,1,1,Half,43,50
65135,39575,1,1,Half,13,41
65136,41349,1,1,Half,40,35
65137,36785,3,OT,Overtime,3,11
65138,41520,2,2,Half,23,50
65139,38886,2,2,Half,39,49
65140,41347,1,1,Half,25,40
65141,38570,1,1,Half,35,39
65142,38919,2,2,Half,34,28
65143,39597,2,2,Half,36,48
65144,36794,3,OT,Overtime,11,15
65145,41512,2,2,Half,26,42
65146,38910,2,2,Half,29,38
65147,41515,2,2,Half,30,37
65148,39569,2,2,Half,31,49
65149,38563,2,2,Half,24,23
65150,38936,1,1,Half,34,47
65151,39578,1,1,Half,20,42
65152,38937,1,1,Half,33,35
65153,39577,1,1,Half,34,43
65154,39600,1,1,Half,19,48
65155,38899,3,OT,Overtime,6,14
65156,38929,3,OT,Overtime,19,14
65157,38898,2,2,Half,33,45
65158,36793,2,2,Half,38,34
65159,38914,2,2,Half,38,57
65160,39599,2,2,Half,32,39
65161,38917,2,2,Half,42,47
65162,39598,2,2,Half,46,66
65163,41514,2,2,Half,23,40
65164,38935,2,2,Half,39,34
65165,38934,1,1,Half,27,34
65166,41517,1,1,Half,23,32
65167,39574,1,1,Half,38,35
65168,39589,1,1,Half,29,56
65169,39576,1,1,Half,30,40
65170,41518,1,1,Half,26,24
65171,38926,1,1,Half,38,41
65172,36788,1,1,Half,36,27
65173,38933,2,2,Half,35,34
65174,38561,2,2,Half,29,39
65175,41516,2,2,Half,26,32
65176,39572,2,2,Half,25,53
65177,38906,2,2,Half,21,49
65178,39575,2,2,Half,14,33
65179,36775,2,2,Half,37,59
65180,41535,1,1,Half,17,49
65181,39573,1,1,Half,22,42
65182,40792,1,1,Half,32,28
65183,38916,1,1,Half,22,48
65184,41349,2,2,Half,32,34
65185,41347,2,2,Half,30,41
65186,38570,2,2,Half,36,40
65187,39600,2,2,Half,40,41
65188,41517,2,2,Half,30,54
65189,39578,2,2,Half,34,32
65190,38936,2,2,Half,31,40
65191,38937,2,2,Half,42,29
65192,41518,2,2,Half,24,38
65193,41519,1,1,Half,19,47
65194,38934,2,2,Half,32,35
65195,38926,2,2,Half,30,46
65196,39577,2,2,Half,42,48
65197,39589,2,2,Half,44,50
65198,39576,2,2,Half,23,26
65199,39574,2,2,Half,42,45
65200,36788,2,2,Half,35,37
65201,38916,2,2,Half,42,50
65202,39573,2,2,Half,30,39
65203,41535,2,2,Half,21,54
65204,40792,2,2,Half,32,45
65205,39574,3,OT,Overtime,10,14
65206,41519,2,2,Half,39,48
65207,41353,1,1,Half,30,67
65208,41353,2,2,Half,24,51
65209,36795,1,1,Half,36,51
65210,39601,1,1,Half,29,43
65211,38571,1,1,Half,18,46
65212,38938,1,1,Half,20,40
65213,38939,1,1,Half,25,42
65214,37691,1,1,Half,20,39
65215,40806,1,1,Half,25,26
65216,39607,1,1,Half,36,31
65217,39606,1,1,Half,20,61
65218,39609,1,1,Half,33,49
65219,36795,2,2,Half,40,37
65220,39601,2,2,Half,31,37
65221,38009,1,1,Half,32,36
65222,38940,1,1,Half,27,42
65223,39605,1,1,Half,30,33
65224,38941,1,1,Half,26,37
65225,38942,1,1,Half,39,45
65226,38938,2,2,Half,29,53
65227,38571,2,2,Half,41,31
65228,39607,2,2,Half,27,32
65229,38939,2,2,Half,34,27
65230,37691,2,2,Half,38,37
65231,41355,1,1,Half,31,73
65232,40806,2,2,Half,24,46
65233,39606,2,2,Half,20,74
65234,39609,2,2,Half,21,48
65235,39608,1,1,Half,26,35
65236,39607,3,OT,Overtime,7,10
65237,38941,2,2,Half,23,38
65238,38940,2,2,Half,45,49
65239,38943,1,1,Half,40,41
65240,38572,1,1,Half,39,51
65241,39610,1,1,Half,43,45
65242,39603,1,1,Half,41,43
65243,39604,1,1,Half,21,40
65244,38009,2,2,Half,14,28
65245,41355,2,2,Half,23,54
65246,38942,2,2,Half,36,37
65247,39605,2,2,Half,27,34
65248,38944,1,1,Half,29,38
65249,39608,2,2,Half,33,40
65250,39604,2,2,Half,26,45
65251,39602,1,1,Half,24,27
65252,40805,1,1,Half,25,33
65253,38943,2,2,Half,32,56
65254,41356,1,1,Half,33,60
65255,39610,2,2,Half,42,40
65256,39603,2,2,Half,51,56
65257,38572,2,2,Half,31,54
65258,38944,2,2,Half,36,29
65259,39610,3,OT,Overtime,10,4
65260,39602,2,2,Half,34,37
65261,40805,2,2,Half,41,36
65262,41356,2,2,Half,32,59
65263,41352,1,1,Half,28,40
65264,41352,2,2,Half,39,57
65265,39616,1,1,Half,22,32
65266,39616,2,2,Half,31,27
65267,41357,1,1,Half,33,29
65268,41559,1,1,Half,30,69
65269,40808,1,1,Half,21,45
65270,38945,1,1,Half,36,43
65271,38947,1,1,Half,30,29
65272,38010,1,1,Half,12,43
65273,41357,2,2,Half,38,28
65274,39615,1,1,Half,32,55
65275,39617,1,1,Half,19,23
65276,38950,1,1,Half,35,23
65277,41559,2,2,Half,41,57
65278,39611,1,1,Half,40,61
65279,41358,1,1,Half,24,58
65280,38947,2,2,Half,34,42
65281,41618,1,1,Half,22,44
65282,40808,2,2,Half,23,56
65283,38945,2,2,Half,28,49
65284,38010,2,2,Half,12,42
65285,38946,1,1,Half,26,36
65286,39617,2,2,Half,21,37
65287,41359,1,1,Half,35,50
65288,39611,2,2,Half,22,56
65289,38950,2,2,Half,26,31
65290,41358,2,2,Half,31,53
65291,39615,2,2,Half,42,51
65292,41489,1,1,Half,37,48
65293,38011,1,1,Half,24,22
65294,41362,1,1,Half,34,32
65295,41618,2,2,Half,41,32
65296,38946,2,2,Half,35,41
65297,41359,2,2,Half,34,36
65298,41489,2,2,Half,37,55
65299,38949,1,1,Half,34,37
65300,41362,2,2,Half,32,33
65301,38011,2,2,Half,20,29
65302,39614,1,1,Half,34,45
65303,38949,2,2,Half,40,48
65304,39613,1,1,Half,30,32
65305,38948,1,1,Half,32,42
65306,38951,1,1,Half,48,57
65307,39614,2,2,Half,42,33
65308,39613,2,2,Half,32,41
65309,38948,2,2,Half,44,50
65310,38951,2,2,Half,30,65
65311,39612,1,1,Half,39,23
65312,39612,2,2,Half,42,55
65313,41363,1,1,Half,24,48
65314,41363,2,2,Half,43,60
65315,39633,1,1,Half,42,42
65316,39623,1,1,Half,38,34
65317,39633,2,2,Half,22,41
65318,39623,2,2,Half,29,34
65319,40809,1,1,Half,28,29
65320,36803,1,1,Half,28,47
65321,36803,2,2,Half,24,56
65322,36796,1,1,Half,30,23
65323,40809,2,2,Half,37,46
65324,40815,1,1,Half,32,45
65325,39646,1,1,Half,28,35
65326,39627,1,1,Half,26,42
65327,36796,2,2,Half,30,34
65328,39635,1,1,Half,,
65329,39646,2,2,Half,24,36
65330,40815,2,2,Half,29,40
65331,38963,1,1,Half,37,37
65332,36804,1,1,Half,44,32
65333,39627,2,2,Half,50,42
65334,38962,1,1,Half,37,43
65335,41366,1,1,Half,33,28
65336,38012,1,1,Half,30,38
65337,39640,1,1,Half,23,35
65338,36801,1,1,Half,25,46
65339,38952,1,1,Half,36,31
65340,39622,1,1,Half,28,40
65341,41365,1,1,Half,43,26
65342,39621,1,1,Half,24,37
65343,39619,1,1,Half,23,35
65344,40813,1,1,Half,38,28
65345,36798,1,1,Half,41,42
65346,36800,1,1,Half,29,32
65347,38578,1,1,Half,31,39
65348,36806,1,1,Half,46,42
65349,38581,1,1,Half,25,38
65350,38971,1,1,Half,27,43
65351,36802,1,1,Half,20,47
65352,41368,1,1,Half,22,32
65353,38573,1,1,Half,35,39
65354,36797,1,1,Half,31,27
65355,39620,1,1,Half,43,43
65356,40814,1,1,Half,24,30
65357,38956,1,1,Half,30,46
65358,38575,1,1,Half,21,41
65359,41493,1,1,Half,33,62
65360,36799,1,1,Half,26,47
65361,39634,1,1,Half,36,49
65362,40816,1,1,Half,35,39
65363,39647,1,1,Half,23,46
65364,41367,1,1,Half,31,39
65365,39632,1,1,Half,31,25
65366,36804,2,2,Half,35,47
65367,38963,2,2,Half,27,46
65368,38962,2,2,Half,48,31
65369,38579,1,1,Half,27,49
65370,41364,1,1,Half,21,63
65371,41366,2,2,Half,34,41
65372,41370,1,1,Half,29,63
65373,40810,1,1,Half,50,42
65374,41369,1,1,Half,30,38
65375,38574,1,1,Half,36,38
65376,38012,2,2,Half,23,47
65377,39640,2,2,Half,46,38
65378,38580,1,1,Half,22,39
65379,36801,2,2,Half,21,44
65380,38952,2,2,Half,23,42
65381,39636,1,1,Half,41,46
65382,41493,2,2,Half,27,39
65383,39622,2,2,Half,36,36
65384,36806,2,2,Half,36,25
65385,36799,2,2,Half,45,36
65386,41368,2,2,Half,24,48
65387,38573,2,2,Half,32,28
65388,39619,2,2,Half,28,36
65389,40814,2,2,Half,39,33
65390,39647,2,2,Half,48,39
65391,41367,2,2,Half,38,52
65392,38961,1,1,Half,38,41
65393,38957,1,1,Half,39,37
65394,38965,1,1,Half,23,27
65395,38958,1,1,Half,15,44
65396,39641,1,1,Half,23,37
65397,39643,1,1,Half,20,26
65398,39631,1,1,Half,31,39
65399,38955,1,1,Half,37,32
65400,41371,1,1,Half,29,57
65401,39639,1,1,Half,33,34
65402,39630,1,1,Half,10,33
65403,39629,1,1,Half,30,22
65404,41372,1,1,Half,32,77
65405,40812,1,1,Half,27,25
65406,39618,1,1,Half,29,23
65407,38966,1,1,Half,20,28
65408,39628,1,1,Half,31,44
65409,39637,1,1,Half,15,39
65410,41365,2,2,Half,48,52
65411,39634,2,2,Half,26,58
65412,41364,2,2,Half,27,48
65413,38971,2,2,Half,39,44
65414,39620,2,2,Half,45,53
65415,39621,2,2,Half,44,56
65416,40816,2,2,Half,33,38
65417,40813,2,2,Half,26,36
65418,36798,2,2,Half,33,42
65419,36800,2,2,Half,40,49
65420,38956,2,2,Half,30,54
65421,38575,2,2,Half,31,32
65422,39632,2,2,Half,43,37
65423,36805,1,1,Half,39,24
65424,38972,1,1,Half,17,60
65425,38960,1,1,Half,16,50
65426,38578,2,2,Half,37,37
65427,38581,2,2,Half,31,44
65428,36797,2,2,Half,29,39
65429,36804,3,OT,Overtime,11,11
65430,38579,2,2,Half,28,36
65431,38973,1,1,Half,22,47
65432,36802,2,2,Half,29,38
65433,41369,2,2,Half,38,32
65434,38968,1,1,Half,30,43
65436,41370,2,2,Half,22,52
65437,39644,1,1,Half,28,40
65438,38969,1,1,Half,29,34
65439,39645,1,1,Half,32,27
65440,39638,1,1,Half,30,51
65441,36804,4,OT2,Overtime,8,13
65442,38574,2,2,Half,39,49
65443,38582,1,1,Half,45,27
65444,38576,1,1,Half,24,36
65445,38580,2,2,Half,30,38
65446,40810,2,2,Half,40,43
65447,40814,3,OT,Overtime,9,10
65448,38961,2,2,Half,50,63
65449,41371,2,2,Half,23,63
65450,39636,2,2,Half,36,40
65451,39641,2,2,Half,34,52
65452,39639,2,2,Half,27,61
65453,39630,2,2,Half,34,63
65454,41372,2,2,Half,26,51
65455,40812,2,2,Half,28,48
65456,39618,2,2,Half,37,22
65457,38966,2,2,Half,41,33
65458,39637,2,2,Half,19,33
65459,38964,1,1,Half,24,49
65460,38974,1,1,Half,30,47
65461,38013,1,1,Half,24,36
65462,39648,1,1,Half,48,49
65463,39642,1,1,Half,26,48
65464,38577,1,1,Half,50,47
65465,38573,3,OT,Overtime,13,5
65466,40813,3,OT,Overtime,6,5
65467,38957,2,2,Half,26,56
65468,38965,2,2,Half,33,40
65469,36805,2,2,Half,33,47
65470,38958,2,2,Half,31,35
65471,39643,2,2,Half,30,34
65472,39631,2,2,Half,31,49
65473,38955,2,2,Half,22,52
65474,39629,2,2,Half,26,33
65475,38972,2,2,Half,33,61
65476,38960,2,2,Half,28,36
65477,39628,2,2,Half,31,44
65478,38975,1,1,Half,30,32
65479,38973,2,2,Half,26,35
65480,38968,2,2,Half,41,48
65481,38582,2,2,Half,32,30
65482,39645,2,2,Half,33,47
65483,38959,1,1,Half,31,25
65484,39644,2,2,Half,32,47
65485,38969,2,2,Half,41,41
65486,39638,2,2,Half,37,41
65487,38576,2,2,Half,35,38
65488,38966,3,OT,Overtime,12,12
65489,39648,2,2,Half,37,46
65490,39626,1,1,Half,29,41
65491,39625,1,1,Half,34,41
65492,39624,1,1,Half,48,32
65493,38976,1,1,Half,27,33
65494,41373,1,1,Half,32,35
65495,38974,2,2,Half,46,36
65496,38577,2,2,Half,37,47
65497,38970,1,1,Half,31,28
65498,38964,2,2,Half,26,55
65499,38975,2,2,Half,30,34
65500,38013,2,2,Half,27,29
65501,39642,2,2,Half,27,44
65502,38966,4,OT2,Overtime,7,8
65503,38959,2,2,Half,35,37
65504,40811,1,1,Half,23,48
65505,39626,2,2,Half,42,50
65506,39625,2,2,Half,26,43
65507,38970,2,2,Half,27,39
65508,38967,1,1,Half,32,45
65509,38954,1,1,Half,35,50
65510,39624,2,2,Half,27,36
65511,38976,2,2,Half,33,32
65512,41373,2,2,Half,29,44
65513,38953,1,1,Half,30,32
65514,40811,2,2,Half,21,52
65515,38967,2,2,Half,40,43
65516,38954,2,2,Half,28,36
65517,38953,2,2,Half,37,35
65518,38953,3,OT,Overtime,10,19
65519,38585,1,1,Half,26,32
65520,38995,1,1,Half,28,46
65521,38981,1,1,Half,33,25
65522,36811,1,1,Half,21,44
65523,41375,1,1,Half,38,27
65524,41376,1,1,Half,22,35
65525,38585,2,2,Half,26,36
65526,38584,1,1,Half,43,35
65527,38987,1,1,Half,22,39
65528,39660,1,1,Half,34,29
65529,36811,2,2,Half,48,29
65530,36809,1,1,Half,46,44
65531,38981,2,2,Half,20,16
65532,38995,2,2,Half,26,43
65533,38996,1,1,Half,30,25
65534,41375,2,2,Half,35,43
65535,41376,2,2,Half,22,66
65536,39660,2,2,Half,25,30
65537,38977,1,1,Half,37,21
65538,38583,1,1,Half,37,38
65539,39658,1,1,Half,23,16
65540,38015,1,1,Half,21,24
65541,39657,1,1,Half,36,32
65542,38988,1,1,Half,32,58
65543,40820,1,1,Half,38,27
65544,38987,2,2,Half,38,41
65545,38014,1,1,Half,33,51
65546,38986,1,1,Half,45,37
65547,38996,2,2,Half,29,33
65548,36809,2,2,Half,32,34
65549,38584,2,2,Half,52,54
65550,40817,1,1,Half,33,41
65551,39660,3,OT,Overtime,15,11
65552,38977,2,2,Half,32,39
65553,39658,2,2,Half,12,32
65554,38986,2,2,Half,46,36
65555,40820,2,2,Half,42,53
65556,38015,2,2,Half,33,39
65557,38984,1,1,Half,26,42
65558,41566,1,1,Half,32,45
65559,38583,2,2,Half,37,39
65560,39661,1,1,Half,35,24
65561,38988,2,2,Half,43,46
65562,39657,2,2,Half,21,36
65563,38014,2,2,Half,44,38
65564,36809,3,OT,Overtime,9,12
65565,40817,2,2,Half,46,45
65566,40820,3,OT,Overtime,5,8
65567,38984,2,2,Half,43,44
65568,36807,1,1,Half,27,47
65569,41483,1,1,Half,40,21
65570,41483,2,2,Half,59,26
65571,38980,1,1,Half,32,32
65572,40822,1,1,Half,21,32
65573,41566,2,2,Half,34,49
65574,39655,1,1,Half,25,35
65575,38994,1,1,Half,23,36
65576,38997,1,1,Half,15,45
65577,39661,2,2,Half,41,40
65578,40821,1,1,Half,12,41
65579,38980,2,2,Half,26,32
65580,38016,1,1,Half,18,40
65581,40822,2,2,Half,35,46
65582,39662,1,1,Half,14,34
65583,38997,2,2,Half,26,34
65584,41374,1,1,Half,33,25
65585,39656,1,1,Half,33,38
65586,38994,2,2,Half,41,31
65587,36807,2,2,Half,43,44
65588,39655,2,2,Half,28,23
65589,40821,2,2,Half,30,50
65590,38016,2,2,Half,29,30
65591,36813,1,1,Half,38,41
65592,38991,1,1,Half,28,21
65593,39662,2,2,Half,29,47
65594,39656,2,2,Half,39,41
65595,41374,2,2,Half,33,34
65596,39653,1,1,Half,36,42
65597,40818,1,1,Half,37,39
65598,38989,1,1,Half,35,32
65599,38982,1,1,Half,23,38
65600,38983,1,1,Half,16,42
65601,40819,1,1,Half,46,31
65602,38985,1,1,Half,26,35
65603,36815,1,1,Half,35,25
65604,38993,1,1,Half,36,23
65605,41561,1,1,Half,46,27
65606,36812,1,1,Half,35,43
65607,36810,1,1,Half,43,31
65608,38991,2,2,Half,31,37
65609,36814,1,1,Half,14,50
65610,38999,1,1,Half,41,23
65611,36808,1,1,Half,42,33
65612,38978,1,1,Half,27,26
65613,36813,2,2,Half,28,58
65614,41563,1,1,Half,27,31
65615,40818,2,2,Half,60,40
65616,39653,2,2,Half,40,45
65617,38983,2,2,Half,33,44
65618,36812,2,2,Half,38,38
65619,38979,1,1,Half,23,23
65620,38586,1,1,Half,29,33
65621,39663,1,1,Half,29,42
65622,38017,1,1,Half,26,29
65623,41564,1,1,Half,38,43
65624,39652,1,1,Half,29,30
65625,36814,2,2,Half,32,52
65626,38985,2,2,Half,42,38
65627,38999,2,2,Half,32,40
65628,38993,2,2,Half,37,33
65629,38989,2,2,Half,32,42
65630,36815,2,2,Half,32,31
65631,36808,2,2,Half,41,30
65632,40819,2,2,Half,31,40
65633,41562,1,1,Half,49,48
65634,39664,1,1,Half,22,59
65635,39659,1,1,Half,23,42
65636,38998,1,1,Half,18,23
65637,36810,2,2,Half,36,40
65638,38978,2,2,Half,31,18
65639,38982,2,2,Half,28,52
65640,41561,2,2,Half,30,44
65641,41563,2,2,Half,29,39
65642,39652,2,2,Half,23,25
65643,38992,1,1,Half,20,27
65644,39000,1,1,Half,38,52
65645,38586,2,2,Half,27,34
65646,39663,2,2,Half,31,36
65647,38017,2,2,Half,33,49
65648,41564,2,2,Half,37,61
65649,39649,1,1,Half,30,35
65650,39654,1,1,Half,25,27
65651,41562,2,2,Half,44,33
65652,38979,2,2,Half,36,47
